country,iso3,year,ndgain_index,ndgain_vulnerability,ndgain_readiness,events,affected,deaths,damage_usd_nominal,damage_usd_2024
Philippines,PHL,1997,41.530540424124,0.498989132302672,0.329599940785152,,,,,
Philippines,PHL,1998,41.7018204070641,0.498510298837535,0.332546706978817,,,,,
Philippines,PHL,1999,41.0962926141208,0.49667822576448,0.318604078046896,,,,,
Philippines,PHL,2000,40.4977822366853,0.495019077678436,0.304974722412141,12,6424338,747,89758000.0,163508063
Philippines,PHL,2001,40.6852689591115,0.494667419461123,0.308372798643353,11,3624958,630,109641000.0,194238530
Philippines,PHL,2002,41.1147363863271,0.489171786015559,0.311466513742102,12,1211212,320,17543000.0,30593715
Philippines,PHL,2003,40.5407413910053,0.487295805957329,0.298110633777434,10,687749,350,42302000.0,72134102
Philippines,PHL,2004,40.3034101664776,0.484411808068319,0.290480011397872,12,3262978,1918,138867000.0,230624056
Philippines,PHL,2005,40.8799561698915,0.48444398784707,0.302043111244899,4,213057,39,2515000.0,4039740
Philippines,PHL,2006,40.2681906621357,0.483575180909931,0.288938994152646,20,8612817,2984,347281000.0,540390425
Philippines,PHL,2007,40.4688218786958,0.480321943052218,0.289698380626135,15,2010577,118,16555000.0,25046105
Philippines,PHL,2008,40.1994067545604,0.479318603161144,0.283306738252351,20,8459896,959,481202000.0,701096068
Philippines,PHL,2009,40.2951639274064,0.476885470098027,0.282788748646156,25,13352484,1307,962107000.0,1406761064
Philippines,PHL,2010,40.6294432625336,0.476553409821965,0.289142275072637,14,5457568,376,335087000.0,482047367
Philippines,PHL,2011,41.386403233507,0.473255613872667,0.300983678542806,33,11722352,1933,730025000.0,1018056303
Philippines,PHL,2012,42.1108877989472,0.473569565538227,0.315787321517171,21,12528288,2385,1005611000.0,1373943343
Philippines,PHL,2013,42.6418174086224,0.474348858957079,0.327185207129527,14,25667133,7750,12422810000.0,16727964183
Philippines,PHL,2014,43.5957417775867,0.473055411426584,0.344970246978318,13,13274658,331,1063690000.0,1409449803
Philippines,PHL,2015,43.2836231739355,0.47321735750757,0.338889820986281,16,4019201,201,1965966000.0,2601930443
Philippines,PHL,2016,42.7160911920624,0.471922008718057,0.326243832559305,11,5534812,87,180074000.0,235356343
Philippines,PHL,2017,42.9299843104246,0.470245686455201,0.328845372663694,14,4869805,233,161213920.0,206311560
Philippines,PHL,2018,42.7743221861139,0.467591301042969,0.323077744765248,9,9614945,313,569712000.0,711698780
Philippines,PHL,2019,43.3815410780659,0.458656257994649,0.326287079555968,16,6798874,180,619171000.0,759716135
Philippines,PHL,2020,44.1123723724187,0.454175973843537,0.336423421291911,9,6116533,202,1113474000.0,1349572476
